"","EndDates","EndLocation","StartDates","StartLocation"
"2252",2017-07-17,"COM2",2017-07-17,"LT29"
"2253",2015-02-26,"S17",2015-02-26,"Computer Centre"
"2254",2016-12-13,"S17",2016-12-13,"KR MRT Station "
"2255",2017-05-15,"University Health Centre",2017-05-15,"Central Library"
"2256",2015-09-11,"University Town",2015-09-11,"Opp. Hon Sui Sen Memorial Library"
"2257",2016-01-14,"COM2",2016-01-14,"Opp. NUSS"
"2258",2017-07-28,"COM2",2017-07-28,"Opp. KR MRT Station"
"2259",2015-05-14,"KR MRT Station ",2015-05-14,"COM2"
"2260",2016-06-27,"Carpark 11 (BIZ)",2016-06-27,"University Town"
"2261",2017-01-06,"University Town",2017-01-06,"KR MRT Station "
"2262",2017-03-27,"House 12",2017-03-27,"University Town"
"2263",2016-08-17,"Opp. KR MRT Station",2016-08-17,"Opp. Hon Sui Sen Memorial Library"
"2264",2015-02-19,"KR MRT Station ",2015-02-19,"Computer Centre"
"2265",2016-10-24,"KR MRT Station ",2016-10-24,"S17"
"2266",2015-01-14,"University Hall",2015-01-14,"University Town"
"2267",2016-10-28,"Carpark 11 (BIZ)",2016-10-28,"University Town"
"2268",2015-09-11,"Opp. KR MRT Station",2015-09-11,"Opp. University Hall"
"2269",2015-04-08,"S17",2015-04-08,"PGP"
"2270",2015-06-26,"Opp. KR MRT Station",2015-06-26,"COM2"
"2271",2017-09-26,"COM2",2017-09-26,"KR MRT Station "
"2272",2016-07-15,"Computer Centre",2016-07-15,"University Town"
"2273",2017-11-23,"Central Library",2017-11-23,"KR MRT Station "
"2274",2017-01-15,"LT29",2017-01-15,"LT29"
"2275",2015-06-24,"LT29",2015-06-24,"Central Library"
"2276",2016-02-17,"University Health Centre",2016-02-17,"University Town"
"2277",2017-07-21,"COM2",2017-07-21,"House 7"
"2278",2015-04-29,"Opp. KR MRT Station",2015-04-29,"University Town"
"2279",2017-09-01,"KR MRT Station ",2017-09-01,"University Town"
"2280",2017-04-27,"Opp. KR MRT Station",2017-04-27,"LT29"
"2281",2016-02-24,"University Town",2016-02-24,"COM2"
"2282",2016-01-21,"Computer Centre",2016-01-21,"Opp. KR MRT Station"
"2283",2017-07-14,"Computer Centre",2017-07-14,"University Town"
"2284",2016-09-01,"S17",2016-09-01,"University Town"
"2285",2016-12-20,"Yusof Ishak House",2016-12-20,"University Town"
"2286",2015-06-03,"EA",2015-06-03,"S17"
"2287",2016-08-23,"COM2",2016-08-23,"KR MRT Station "
"2288",2017-05-09,"Central Library",2017-05-09,"COM2"
"2289",2015-09-24,"Central Library",2015-09-24,"LT29"
"2290",2015-10-16,"University Town",2015-10-16,"COM2"
"2291",2016-08-25,"COM2",2016-08-25,"Computer Centre"
"2292",2015-05-22,"Central Library",2015-05-22,"KR MRT Station "
"2293",2016-10-14,"House 12",2016-10-14,"Kent Ridge Bus Terminal"
"2294",2015-02-02,"LT29",2015-02-02,"KR MRT Station "
"2295",2017-05-17,"LT29",2017-05-17,"KR MRT Station "
"2296",2017-07-22,"Computer Centre",2017-07-22,"KR MRT Station "
"2297",2015-07-31,"LT29",2015-07-31,"Computer Centre"
"2298",2015-10-05,"Computer Centre",2015-10-05,"Opp. KR MRT Station"
"2299",2017-07-29,"Central Library",2017-07-29,"University Town"
"2300",2016-06-30,"COM2",2016-06-30,"Central Library"
"2301",2016-07-15,"University Town",2016-07-15,"Ventus (Opp. LT13)"
"2302",2016-09-26,"University Town",2016-09-26,"LT29"
"2303",2017-09-27,"KR MRT Station ",2017-09-27,"Opp. KR MRT Station"
"2304",2017-12-25,"Ventus (Opp. LT13)",2017-12-25,"Computer Centre"
"2305",2015-12-15,"Central Library",2015-12-15,"KR MRT Station "
"2306",2015-07-04,"University Town",2015-07-04,"KR MRT Station "
"2307",2017-10-24,"Computer Centre",2017-10-24,"KR MRT Station "
"2308",2016-09-23,"Opp. KR MRT Station",2016-09-23,"Central Library"
"2309",2016-08-11,"Central Library",2016-08-11,"LT29"
"2310",2017-02-01,"COM2",2017-02-01,"Opp. Yusof Ishak House"
"2311",2016-04-01,"House 7",2016-04-01,"S17"
"2312",2017-12-27,"Yusof Ishak House",2017-12-27,"S17"
"2313",2017-07-17,"Raffles Hall",2017-07-17,"LT29"
"2314",2016-06-15,"S17",2016-06-15,"KR MRT Station "
"2315",2017-02-22,"S17",2017-02-22,"Central Library"
"2316",2016-06-21,"Opp. KR MRT Station",2016-06-21,"KR MRT Station "
"2317",2016-09-22,"KR MRT Station ",2016-09-22,"S17"
"2318",2015-06-01,"KR MRT Station ",2015-06-01,"Opp. KR MRT Station"
"2319",2015-09-23,"EA",2015-09-23,"KR MRT Station "
"2320",2017-10-05,"Computer Centre",2017-10-05,"University Town"
"2321",2016-12-27,"S17",2016-12-27,"Opp. KR MRT Station"
"2322",2015-03-18,"LT29",2015-03-18,"University Town"
"2323",2017-02-25,"Computer Centre",2017-02-25,"LT13"
"2324",2017-12-28,"COM2",2017-12-28,"University Town"
"2325",2015-09-08,"COM2",2015-09-08,"House 7"
"2326",2016-04-20,"KR MRT Station ",2016-04-20,"S17"
"2327",2016-12-30,"University Town",2016-12-30,"COM2"
"2328",2016-11-10,"Computer Centre",2016-11-10,"Opp. KR MRT Station"
"2329",2016-12-27,"Computer Centre",2016-12-27,"COM2"
"2330",2016-08-02,"Computer Centre",2016-08-02,"University Town"
"2331",2017-01-30,"House 7",2017-01-30,"KR MRT Station "
"2332",2015-01-27,"COM2",2015-01-27,"KR MRT Station "
"2333",2017-07-14,"COM2",2017-07-14,"KR MRT Station "
"2334",2015-08-10,"University Town",2015-08-10,"Computer Centre"
"2335",2015-07-20,"COM2",2015-07-20,"Computer Centre"
"2336",2016-07-14,"House 12",2016-07-14,"Central Library"
"2337",2017-11-22,"LT29",2017-11-22,"COM2"
"2338",2015-08-14,"Ventus (Opp. LT13)",2015-08-14,"COM2"
"2339",2016-06-29,"University Town",2016-06-29,"Opp. KR MRT Station"
"2340",2017-12-28,"COM2",2017-12-28,"KR MRT Station "
"2341",2017-06-20,"Opp. KR MRT Station",2017-06-20,"House 12"
"2342",2015-09-30,"University Town",2015-09-30,"S17"
"2343",2015-04-10,"KR MRT Station ",2015-04-10,"University Town"
"2344",2015-11-02,"University Health Centre",2015-11-02,"Central Library"
"2345",2017-06-06,"COM2",2017-06-06,"University Town"
"2346",2015-04-18,"S17",2015-04-18,"University Town"
"2347",2016-06-27,"University Town",2016-06-27,"KR MRT Station "
"2348",2015-05-13,"KR MRT Station ",2015-05-13,"University Town"
"2349",2015-10-28,"Computer Centre",2015-10-28,"University Town"
"2350",2016-09-15,"University Hall",2016-09-15,"S17"
"2351",2017-04-05,"KR MRT Station ",2017-04-05,"University Town"
"2352",2016-09-28,"KR MRT Station ",2016-09-28,"University Town"
"2353",2015-06-24,"Computer Centre",2015-06-24,"LT29"
"2354",2016-12-15,"LT29",2016-12-15,"Opp. KR MRT Station"
"2355",2017-05-09,"Opp. KR MRT Station",2017-05-09,"S17"
"2356",2015-02-05,"Central Library",2015-02-05,"Opp. University Health Centre"
"2357",2016-09-23,"University Town",2016-09-23,"S17"
"2358",2015-08-28,"KR MRT Station ",2015-08-28,"Opp. KR MRT Station"
"2359",2017-06-28,"Computer Centre",2017-06-28,"LT29"
"2360",2016-12-06,"University Town",2016-12-06,"COM2"
"2361",2016-07-21,"University Town",2016-07-21,"Computer Centre"
"2362",2016-11-29,"University Hall",2016-11-29,"COM2"
"2363",2015-12-23,"Computer Centre",2015-12-23,"KR MRT Station "
"2364",2015-12-16,"LT13",2015-12-16,"KR MRT Station "
"2365",2017-05-17,"COM2",2017-05-17,"University Town"
"2366",2015-01-05,"Carpark 11 (BIZ)",2015-01-05,"University Hall"
"2367",2015-03-03,"S17",2015-03-03,"University Town"
"2368",2015-09-10,"University Town",2015-09-10,"Computer Centre"
"2369",2017-06-09,"LT13",2017-06-09,"Computer Centre"
"2370",2015-07-15,"LT13",2015-07-15,"University Town"
"2371",2016-10-14,"Computer Centre",2016-10-14,"KR MRT Station "
"2372",2016-08-09,"S17",2016-08-09,"Computer Centre"
"2373",2015-08-10,"COM2",2015-08-10,"Computer Centre"
"2374",2015-05-19,"KR MRT Station ",2015-05-19,"Opp. KR MRT Station"
"2375",2017-10-27,"Central Library",2017-10-27,"LT29"
"2376",2017-01-05,"University Town",2017-01-05,"LT29"
"2377",2015-01-21,"KR MRT Station ",2015-01-21,"Raffles Hall"
"2378",2015-12-10,"KR MRT Station ",2015-12-10,"Computer Centre"
"2379",2016-02-26,"Computer Centre",2016-02-26,"Central Library"
"2380",2015-12-14,"LT29",2015-12-14,"Opp. University Hall"
"2381",2015-11-27,"COM2",2015-11-27,"University Town"
"2382",2015-01-05,"COM2",2015-01-05,"University Town"
"2383",2016-10-28,"COM2",2016-10-28,"Central Library"
"2384",2016-09-12,"Yusof Ishak House",2016-09-12,"COM2"
"2385",2017-04-22,"S17",2017-04-22,"Opp. KR MRT Station"
"2386",2017-09-14,"University Town",2017-09-14,"LT29"
"2387",2017-09-15,"KR MRT Station ",2017-09-15,"S17"
"2388",2017-05-23,"COM2",2017-05-23,"LT29"
"2389",2016-04-22,"Central Library",2016-04-22,"COM2"
"2390",2016-09-16,"KR MRT Station ",2016-09-16,"University Town"
"2391",2017-12-20,"COM2",2017-12-20,"University Town"
"2392",2017-10-09,"S17",2017-10-09,"Raffles Hall"
"2393",2016-10-14,"University Hall",2016-10-14,"S17"
"2394",2015-03-30,"COM2",2015-03-30,"KR MRT Station "
"2395",2015-07-29,"S17",2015-07-29,"Museum"
"2396",2015-02-06,"PGP",2015-02-06,"Computer Centre"
"2397",2017-12-21,"Central Library",2017-12-21,"University Town"
"2398",2015-03-24,"University Town",2015-03-24,"COM2"
"2399",2016-07-07,"Computer Centre",2016-07-07,"University Town"
"2400",2015-02-19,"S17",2015-02-19,"University Town"
"2401",2016-07-27,"COM2",2016-07-27,"KR MRT Station "
"2402",2017-01-19,"Ventus (Opp. LT13)",2017-01-19,"Carpark 11 (BIZ)"
"2403",2017-09-26,"KR MRT Station ",2017-09-26,"Computer Centre"
"2404",2016-09-27,"Central Library",2016-09-27,"KR MRT Station "
"2405",2015-08-21,"KR MRT Station ",2015-08-21,"COM2"
"2406",2017-12-13,"BIZ2",2017-12-13,"Central Library"
"2407",2016-12-14,"COM2",2016-12-14,"University Hall"
"2408",2016-02-24,"University Town",2016-02-24,"COM2"
"2409",2015-11-10,"KR MRT Station ",2015-11-10,"LT29"
"2410",2017-11-28,"University Town",2017-11-28,"House 12"
"2411",2015-02-04,"COM2",2015-02-04,"University Town"
"2412",2015-11-05,"COM2",2015-11-05,"Central Library"
"2413",2016-06-08,"House 15",2016-06-08,"Opp. NUSS"
"2414",2015-08-11,"LT29",2015-08-11,"Computer Centre"
"2415",2015-09-04,"KR MRT Station ",2015-09-04,"Computer Centre"
"2416",2016-09-29,"Central Library",2016-09-29,"LT29"
"2417",2015-01-12,"University Town",2015-01-12,"COM2"
"2418",2016-03-25,"University Town",2016-03-25,"Carpark 11 (BIZ)"
"2419",2016-05-02,"University Town",2016-05-02,"Opp. University Hall"
"2420",2017-08-01,"KR MRT Station ",2017-08-01,"LT29"
"2421",2015-06-23,"COM2",2015-06-23,"KR MRT Station "
"2422",2017-11-09,"Yusof Ishak House",2017-11-09,"LT13"
"2423",2017-02-21,"S17",2017-02-21,"University Town"
"2424",2016-04-07,"LT29",2016-04-07,"KR MRT Station "
"2425",2016-08-08,"LT29",2016-08-08,"KR MRT Station "
"2426",2016-12-27,"Opp. KR MRT Station",2016-12-27,"KR MRT Station "
"2427",2015-04-22,"KR MRT Station ",2015-04-22,"University Town"
"2428",2016-02-15,"University Town",2016-02-15,"KR MRT Station "
"2429",2017-11-01,"House 12",2017-11-01,"S17"
"2430",2015-02-12,"University Town",2015-02-12,"S17"
"2431",2016-08-03,"LT29",2016-08-03,"Raffles Hall"
"2432",2016-12-20,"Computer Centre",2016-12-20,"BIZ2"
"2433",2017-04-04,"KR MRT Station ",2017-04-04,"KR MRT Station "
"2434",2016-01-21,"University Town",2016-01-21,"Opp. KR MRT Station"
"2435",2016-01-07,"KR MRT Station ",2016-01-07,"LT29"
"2436",2016-05-23,"Kent Ridge Bus Terminal",2016-05-23,"COM2"
"2437",2015-12-11,"Computer Centre",2015-12-11,"University Town"
"2438",2017-08-01,"University Town",2017-08-01,"LT29"
"2439",2017-08-08,"Opp. KR MRT Station",2017-08-08,"LT29"
"2440",2016-07-07,"University Town",2016-07-07,"LT29"
"2441",2017-06-01,"Computer Centre",2017-06-01,"Kent Ridge Bus Terminal"
"2442",2017-11-30,"S17",2017-11-30,"KR MRT Station "
"2443",2017-04-27,"KR MRT Station ",2017-04-27,"Opp. KR MRT Station"
"2444",2015-03-10,"University Town",2015-03-10,"KR MRT Station "
"2445",2017-12-22,"AS7",2017-12-22,"LT29"
"2446",2015-08-28,"S17",2015-08-28,"Computer Centre"
"2447",2017-07-14,"S17",2017-07-14,"KR MRT Station "
"2448",2017-11-06,"University Town",2017-11-06,"S17"
"2449",2016-05-13,"S17",2016-05-13,"Opp. KR MRT Station"
"2450",2017-05-24,"COM2",2017-05-24,"University Town"
"2451",2015-04-16,"Opp. Hon Sui Sen Memorial Library",2015-04-16,"University Town"
"2452",2015-05-19,"KR MRT Station ",2015-05-19,"University Town"
"2453",2016-10-01,"S17",2016-10-01,"Central Library"
"2454",2016-03-17,"LT29",2016-03-17,"Computer Centre"
"2455",2016-06-04,"Central Library",2016-06-04,"KR MRT Station "
"2456",2016-01-13,"LT29",2016-01-13,"Central Library"
"2457",2015-02-08,"KR MRT Station ",2015-02-08,"Raffles Hall"
"2458",2016-03-30,"House 15",2016-03-30,"University Town"
"2459",2015-07-01,"University Town",2015-07-01,"LT29"
"2460",2016-02-10,"Computer Centre",2016-02-10,"KR MRT Station "
"2461",2017-03-06,"S17",2017-03-06,"LT29"
"2462",2017-09-26,"Opp. KR MRT Station",2017-09-26,"AS7"
"2463",2015-04-28,"Opp. Yusof Ishak House",2015-04-28,"Computer Centre"
"2464",2017-09-22,"KR MRT Station ",2017-09-22,"Computer Centre"
"2465",2017-05-08,"University Town",2017-05-08,"COM2"
"2466",2015-10-23,"KR MRT Station ",2015-10-23,"Computer Centre"
"2467",2016-07-06,"Central Library",2016-07-06,"KR MRT Station "
"2468",2015-06-11,"University Town",2015-06-11,"KR MRT Station "
"2469",2017-01-18,"Computer Centre",2017-01-18,"Opp. KR MRT Station"
"2470",2017-01-03,"University Town",2017-01-03,"Raffles Hall"
"2471",2017-04-29,"University Town",2017-04-29,"Computer Centre"
"2472",2015-03-13,"LT29",2015-03-13,"COM2"
"2473",2015-02-08,"Yusof Ishak House",2015-02-08,"KR MRT Station "
"2474",2015-10-05,"University Town",2015-10-05,"Central Library"
"2475",2015-01-12,"S17",2015-01-12,"KR MRT Station "
"2476",2016-06-28,"KR MRT Station ",2016-06-28,"Computer Centre"
"2477",2017-04-28,"COM2",2017-04-28,"Yusof Ishak House"
"2478",2015-11-27,"KR MRT Station ",2015-11-27,"KR MRT Station "
"2479",2016-11-18,"S17",2016-11-18,"KR MRT Station "
"2480",2016-09-09,"LT29",2016-09-09,"KR MRT Station "
"2481",2017-05-22,"PGP",2017-05-22,"Central Library"
"2482",2015-02-16,"BIZ2",2015-02-16,"Opp. House 12"
"2483",2017-02-18,"BIZ2",2017-02-18,"COM2"
"2484",2017-04-07,"KR MRT Station ",2017-04-07,"LT29"
"2485",2017-12-15,"University Town",2017-12-15,"House 12"
"2486",2017-03-25,"LT29",2017-03-25,"KR MRT Station "
"2487",2015-11-23,"University Town",2015-11-23,"Computer Centre"
"2488",2017-12-27,"EA",2017-12-27,"KR MRT Station "
"2489",2017-04-28,"Opp. KR MRT Station",2017-04-28,"Yusof Ishak House"
"2490",2015-06-30,"Opp. KR MRT Station",2015-06-30,"University Town"
"2491",2016-09-05,"University Town",2016-09-05,"KR MRT Station "
"2492",2015-07-31,"University Town",2015-07-31,"S17"
"2493",2015-02-22,"EA",2015-02-22,"KR MRT Station "
"2494",2015-11-12,"KR MRT Station ",2015-11-12,"Opp. KR MRT Station"
"2495",2016-09-26,"Opp. University Hall",2016-09-26,"S17"
"2496",2016-01-21,"Computer Centre",2016-01-21,"COM2"
"2497",2016-07-26,"S17",2016-07-26,"KR MRT Station "
"2498",2015-06-24,"University Town",2015-06-24,"Central Library"
"2499",2015-05-05,"University Town",2015-05-05,"Opp. KR MRT Station"
"2500",2017-09-14,"KR MRT Station ",2017-09-14,"Computer Centre"
"2501",2017-02-03,"Computer Centre",2017-02-03,"Central Library"
"2502",2017-01-10,"KR MRT Station ",2017-01-10,"LT29"
"2503",2017-03-30,"University Town",2017-03-30,"University Town"
"2504",2017-05-10,"University Town",2017-05-10,"University Town"
"2505",2016-12-15,"EA",2016-12-15,"S17"
"2506",2016-08-15,"EA",2016-08-15,"Central Library"
"2507",2015-05-06,"Opp. University Health Centre",2015-05-06,"University Town"
"2508",2017-03-26,"COM2",2017-03-26,"University Town"
"2509",2016-05-22,"Central Library",2016-05-22,"Opp. Yusof Ishak House"
"2510",2016-08-02,"Central Library",2016-08-02,"LT29"
"2511",2015-05-14,"KR MRT Station ",2015-05-14,"COM2"
"2512",2016-05-24,"House 7",2016-05-24,"EA"
"2513",2015-05-28,"KR MRT Station ",2015-05-28,"Opp. University Health Centre"
"2514",2017-03-18,"University Town",2017-03-18,"Computer Centre"
"2515",2015-05-07,"S17",2015-05-07,"House 7"
"2516",2015-06-23,"University Town",2015-06-23,"S17"
"2517",2016-01-19,"KR MRT Station ",2016-01-19,"S17"
"2518",2017-12-14,"KR MRT Station ",2017-12-14,"Computer Centre"
"2519",2015-04-09,"Opp. KR MRT Station",2015-04-09,"Opp. University Health Centre"
"2520",2016-01-12,"Opp. KR MRT Station",2016-01-12,"Computer Centre"
"2521",2015-08-19,"KR MRT Station ",2015-08-19,"Opp. Yusof Ishak House"
"2522",2016-06-07,"Central Library",2016-06-07,"S17"
"2523",2016-11-25,"COM2",2016-11-25,"University Hall"
"2524",2017-06-27,"Opp. KR MRT Station",2017-06-27,"LT29"
"2525",2015-04-10,"Opp. KR MRT Station",2015-04-10,"COM2"
"2526",2015-02-24,"KR MRT Station ",2015-02-24,"LT29"
"2527",2016-11-04,"LT29",2016-11-04,"COM2"
"2528",2017-08-17,"University Town",2017-08-17,"S17"
"2529",2017-07-18,"Central Library",2017-07-18,"KR MRT Station "
"2530",2016-07-06,"KR MRT Station ",2016-07-06,"University Town"
"2531",2015-12-24,"Computer Centre",2015-12-24,"COM2"
"2532",2015-05-11,"Museum",2015-05-11,"COM2"
"2533",2016-07-20,"University Town",2016-07-20,"COM2"
"2534",2017-05-17,"COM2",2017-05-17,"S17"
"2535",2017-08-02,"S17",2017-08-02,"University Town"
"2536",2016-08-17,"Central Library",2016-08-17,"KR MRT Station "
"2537",2017-06-15,"S17",2017-06-15,"Opp. Hon Sui Sen Memorial Library"
"2538",2016-12-06,"Opp. University Hall",2016-12-06,"KR MRT Station "
"2539",2016-02-23,"Opp. KR MRT Station",2016-02-23,"KR MRT Station "
"2540",2017-10-11,"University Hall",2017-10-11,"KR MRT Station "
"2541",2017-05-01,"PGP",2017-05-01,"KR MRT Station "
"2542",2016-02-05,"Kent Ridge Bus Terminal",2016-02-05,"University Town"
"2543",2016-02-05,"Central Library",2016-02-05,"University Town"
"2544",2017-12-14,"S17",2017-12-14,"COM2"
"2545",2016-10-18,"LT29",2016-10-18,"Opp. KR MRT Station"
"2546",2015-02-17,"Central Library",2015-02-17,"LT29"
"2547",2016-02-26,"Kent Ridge Bus Terminal",2016-02-26,"S17"
"2548",2015-03-20,"LT29",2015-03-20,"Opp. KR MRT Station"
"2549",2016-01-13,"LT29",2016-01-13,"University Town"
"2550",2016-01-06,"LT29",2016-01-06,"Central Library"
"2551",2016-07-12,"AS7",2016-07-12,"University Town"
"2552",2016-05-23,"University Town",2016-05-23,"COM2"
"2553",2017-01-30,"Opp. KR MRT Station",2017-01-30,"Computer Centre"
"2554",2017-02-22,"COM2",2017-02-22,"LT29"
"2555",2017-09-06,"Opp. KR MRT Station",2017-09-06,"University Town"
"2556",2015-11-20,"Central Library",2015-11-20,"Opp. University Health Centre"
"2557",2016-04-13,"Opp. University Hall",2016-04-13,"University Town"
"2558",2015-08-27,"KR MRT Station ",2015-08-27,"University Health Centre"
"2559",2016-12-20,"COM2",2016-12-20,"KR MRT Station "
"2560",2017-02-26,"LT29",2017-02-26,"KR MRT Station "
"2561",2017-09-18,"Opp. KR MRT Station",2017-09-18,"University Town"
"2562",2016-12-26,"Kent Ridge Bus Terminal",2016-12-26,"University Town"
"2563",2016-03-11,"Computer Centre",2016-03-11,"LT29"
"2564",2016-04-13,"Computer Centre",2016-04-13,"Opp. KR MRT Station"
"2565",2015-05-07,"Computer Centre",2015-05-07,"KR MRT Station "
"2566",2016-08-24,"University Town",2016-08-24,"KR MRT Station "
"2567",2015-03-30,"Opp. House 12",2015-03-30,"KR MRT Station "
"2568",2017-10-29,"University Town",2017-10-29,"KR MRT Station "
"2569",2017-04-07,"S17",2017-04-07,"University Town"
"2570",2017-08-09,"Opp. KR MRT Station",2017-08-09,"LT29"
"2571",2016-12-27,"University Town",2016-12-27,"Opp. KR MRT Station"
"2572",2015-01-30,"University Town",2015-01-30,"S17"
"2573",2015-12-25,"University Town",2015-12-25,"KR MRT Station "
"2574",2015-11-16,"Central Library",2015-11-16,"Opp. KR MRT Station"
"2575",2016-10-05,"Opp. KR MRT Station",2016-10-05,"PGP"
"2576",2016-02-08,"KR MRT Station ",2016-02-08,"House 12"
"2577",2015-02-02,"COM2",2015-02-02,"S17"
"2578",2016-12-30,"KR MRT Station ",2016-12-30,"KR MRT Station "
"2579",2015-01-01,"LT29",2015-01-01,"COM2"
"2580",2016-06-14,"Central Library",2016-06-14,"University Town"
"2581",2017-12-14,"Raffles Hall",2017-12-14,"LT29"
"2582",2015-03-29,"Museum",2015-03-29,"KR MRT Station "
"2583",2016-07-07,"KR MRT Station ",2016-07-07,"University Town"
"2584",2017-11-27,"University Town",2017-11-27,"COM2"
"2585",2017-12-20,"COM2",2017-12-20,"LT29"
"2586",2016-07-04,"Opp. NUSS",2016-07-04,"COM2"
"2587",2017-08-01,"KR MRT Station ",2017-08-01,"University Town"
"2588",2015-12-11,"S17",2015-12-11,"University Town"
"2589",2016-05-08,"University Town",2016-05-08,"COM2"
"2590",2016-02-10,"University Town",2016-02-10,"COM2"
"2591",2017-05-19,"Central Library",2017-05-19,"COM2"
"2592",2016-04-12,"Opp. House 12",2016-04-12,"Opp. University Hall"
"2593",2016-07-21,"Opp. KR MRT Station",2016-07-21,"Central Library"
"2594",2017-09-15,"Opp. KR MRT Station",2017-09-15,"COM2"
"2595",2017-02-23,"KR MRT Station ",2017-02-23,"University Town"
"2596",2016-10-28,"Opp. KR MRT Station",2016-10-28,"Central Library"
"2597",2015-11-16,"KR MRT Station ",2015-11-16,"PGP"
"2598",2017-08-31,"KR MRT Station ",2017-08-31,"PGP"
"2599",2016-04-14,"Computer Centre",2016-04-14,"University Town"
"2600",2017-10-01,"Yusof Ishak House",2017-10-01,"Central Library"
